epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1139.09,0.58893,4.02513,0.44624,0.45926,1.02151,0.98893,1,0.995,0.83781,0.49857,0.5,0.4975,0.21118,0.77808,3.34289,0.29659,0.47876,1.01864,0.000632465,0.000632465,0.000632465
44,1163.97,0.58411,3.94641,0.44096,0.4611,0.9966,0.98637,1,0.995,0.82403,0.49856,0.5,0.4975,0.1958,0.82556,3.33603,0.2981,0.46714,1.04259,0.000607833,0.000607833,0.000607833
45,1189.63,0.56738,3.99448,0.44884,0.44132,0.98824,0.98123,1,0.995,0.80264,0.49859,0.5,0.4975,0.11625,0.84036,3.53472,0.29545,0.48464,1.04131,0.000583201,0.000583201,0.000583201
46,1216.05,0.52425,3.78415,0.43769,0.451,0.97323,0.98044,1,0.995,0.82726,0.49861,0.5,0.4975,0.18239,0.82416,3.33373,0.29648,0.47706,1.07191,0.000558569,0.000558569,0.000558569
47,1241.7,0.53314,3.93733,0.44558,0.45313,0.98694,0.98111,1,0.995,0.80051,0.49859,0.5,0.4975,0.18893,0.81664,3.22668,0.2949,0.47769,1.0686,0.000533938,0.000533938,0.000533938
48,1267.41,0.55225,3.59223,0.43155,0.44481,0.98113,0.98535,1,0.995,0.78105,0.49864,0.5,0.4975,0.17378,0.86207,3.24162,0.29269,0.46109,1.09575,0.000509306,0.000509306,0.000509306
49,1292.72,0.54292,3.79691,0.4496,0.44692,0.97872,0.98961,1,0.995,0.76651,0.74503,0.75,0.74528,0.19388,0.89732,3.25565,0.29517,0.48293,1.0866,0.000484674,0.000484674,0.000484674
50,1317.94,0.53292,3.85706,0.45396,0.44121,0.98016,0.98763,1,0.995,0.79612,0.49765,0.5,0.4975,0.14179,0.82496,3.40521,0.29845,0.4721,1.06015,0.000460042,0.000460042,0.000460042
51,1343.18,0.5165,3.85892,0.43648,0.43185,0.95609,0.98832,1,0.995,0.81236,0.49862,0.5,0.4975,0.15997,0.84487,3.27589,0.29922,0.4389,1.08591,0.00043541,0.00043541,0.00043541
52,1368.52,0.51876,3.75304,0.4344,0.4259,0.96608,0.98649,1,0.995,0.80321,0.49866,0.5,0.4975,0.16296,0.84706,3.13083,0.29908,0.41813,1.08772,0.000410779,0.000410779,0.000410779
